date,AM_PM,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
1/1/19,PM,9,987,94,6.2,5.2,100,4,0,0
1/1/19,PM,4,1000,-11,M,M,M,M,M,M
1/1/19,PM,5,976,185,6,4.4,M,M,M,M
1/1/19,PM,5,965,278,9.2,5.5,M,M,M,M
1/1/19,PM,6,962,304,M,M,210,13,334,0
1/1/19,PM,5,956,355,9,5.4,M,M,M,M
1/1/19,PM,5,951,398,10,6.1,M,M,M,M
1/1/19,PM,6,927,609,M,M,260,31,40,0
1/1/19,PM,5,926,618,9.6,6.1,M,M,M,M
1/1/19,PM,4,925,632,9.6,6.1,265,32,44,0
1/1/19,PM,6,893.7,914,M,M,270,39,68,0
1/1/19,PM,5,869,1144,5.6,4.8,M,M,M,M
1/1/19,PM,6,861.2,1219,M,M,270,50,78,1
1/1/19,PM,4,850,1328,4.4,3.7,270,56,80,1
1/1/19,PM,6,798.5,1828,M,M,270,67,84,3
1/1/19,PM,6,768.6,2133,M,M,270,75,85,4
1/1/19,PM,6,739.9,2438,M,M,275,73,87,6
1/1/19,PM,5,734,2502,-2.9,-3.8,M,M,M,M
1/1/19,PM,6,712.4,2743,M,M,280,66,88,7
1/1/19,PM,4,700,2884,-4.7,-5.5,280,66,89,7
1/1/19,PM,5,680,3111,-6.3,-7,M,M,M,M
1/1/19,PM,5,673,3192,-6.3,-8.2,M,M,M,M
1/1/19,PM,5,669,3238,-6.3,-11.3,M,M,M,M
1/1/19,PM,5,664,3296,-6.1,-13.1,M,M,M,M
1/1/19,PM,5,638,3606,-7.9,-20.9,M,M,M,M
1/1/19,PM,6,633.8,3657,M,M,270,88,91,11
1/1/19,PM,5,630,3704,-7.5,-25.5,M,M,M,M
1/1/19,PM,5,609,3967,-7.7,-30.7,M,M,M,M
1/1/19,PM,5,604,4031,-7.1,-39.1,M,M,M,M
1/1/19,PM,5,594,4161,-7.5,-43.5,M,M,M,M
1/1/19,PM,6,586,4267,M,M,260,99,89,14
1/1/19,PM,5,585,4280,-6.5,-43.5,M,M,M,M
1/1/19,PM,5,581,4334,-4.3,-45.3,M,M,M,M
1/1/19,PM,5,575,4415,-4.5,-47.5,M,M,M,M
1/1/19,PM,6,541.9,4876,M,M,265,99,88,17
1/1/19,PM,5,535,4976,-9.3,-56.3,M,M,M,M
1/1/19,PM,5,514,5284,-10.7,-57.7,M,M,M,M
1/1/19,PM,4,500,5500,-12.7,-58.7,265,111,87,21
1/1/19,PM,5,466,6030,-17.7,-61.7,M,M,M,M
1/1/19,PM,6,461.8,6096,M,M,270,114,87,24
1/1/19,PM,6,425.2,6705,M,M,265,109,87,28
1/1/19,PM,5,412,6938,-23.9,-65.9,M,M,M,M
1/1/19,PM,4,400,7160,-24.9,-66.9,260,119,87,31
1/1/19,PM,5,386,7418,-25.9,-66.9,M,M,M,M
1/1/19,PM,6,375.3,7620,M,M,255,130,86,34
1/1/19,PM,5,369,7741,-28.5,-58.5,M,M,M,M
1/1/19,PM,5,359,7937,-29.3,-39.3,M,M,M,M
1/1/19,PM,5,353,8057,-29.9,-42.9,M,M,M,M
1/1/19,PM,5,331,8510,-34.1,-56.1,M,M,M,M
1/1/19,PM,6,329.9,8534,M,M,255,128,84,41
1/1/19,PM,5,325,8638,-34.5,-70.5,M,M,M,M
1/1/19,PM,5,313,8899,-35.9,-68.9,M,M,M,M
1/1/19,PM,6,302.4,9144,M,M,265,138,83,45
1/1/19,PM,4,300,9200,-38.1,-63.1,265,140,83,45
1/1/19,PM,5,278,9718,-42.1,-62.1,M,M,M,M
1/1/19,PM,5,268,9964,-44.1,-55.1,M,M,M,M
1/1/19,PM,6,264.2,10058,M,M,265,162,84,53
1/1/19,PM,5,252,10373,-46.9,-57.9,M,M,M,M
1/1/19,PM,4,250,10430,-47.5,-57.5,260,162,83,56
1/1/19,PM,5,229,11001,-52.9,-59.9,M,M,M,M
1/1/19,PM,5,217,11345,-55.9,-60,M,M,M,M
1/1/19,PM,5,210,11552,-57.7,-61,M,M,M,M
1/1/19,PM,6,209,11582,M,M,265,165,83,66
1/1/19,PM,4,200,11860,-60.3,-66.3,265,159,83,69
1/1/19,PM,5,199,11891,-60.3,-66.3,M,M,M,M
1/1/19,PM,6,180.4,12496,M,M,270,157,83,75
1/1/19,PM,5,174,12718,-64.1,-72.1,M,M,M,M
1/1/19,PM,5,164,13079,-64.9,-77.9,M,M,M,M
1/1/19,PM,5,156,13384,-63.9,-79.9,M,M,M,M
1/1/19,PM,6,155.3,13411,M,M,265,104,84,81
1/1/19,PM,5,153,13503,-61.7,-81.7,M,M,M,M
1/1/19,PM,4,150,13620,-61.9,-82.9,255,108,84,82
1/1/19,PM,5,149,13661,-61.9,-83.9,M,M,M,M
1/1/19,PM,5,145,13830,-59.5,-87.5,M,M,M,M
1/1/19,PM,5,141,14005,-58.7,-89.7,M,M,M,M
1/1/19,PM,5,134,14324,-58.7,-89.7,M,M,M,M
1/1/19,PM,5,129,14562,-59.7,-90.7,M,M,M,M
1/1/19,PM,6,127.6,14630,M,M,265,122,83,89
1/1/19,PM,5,127,14660,-59.1,-90.1,M,M,M,M
1/1/19,PM,6,115.7,15240,M,M,275,94,84,92
1/1/19,PM,5,114,15331,-61.5,-92.5,M,M,M,M
1/1/19,PM,5,108,15667,-59.5,-90.5,M,M,M,M
1/1/19,PM,4,100,16150,-61.9,-91.9,270,72,84,97
1/1/19,PM,5,96.1,16395,-63.3,-93.3,M,M,M,M
1/1/19,PM,6,95.1,16459,M,M,275,83,84,98
1/1/19,PM,5,88.4,16908,-62.5,-92.5,M,M,M,M
1/1/19,PM,6,86.1,17068,M,M,265,70,84,100
1/1/19,PM,5,83.2,17279,-64.3,-94.3,M,M,M,M
1/1/19,PM,6,81.9,17373,M,M,275,81,84,102
1/1/19,PM,5,79.1,17589,-62.1,-92.1,M,M,M,M
1/1/19,PM,6,78,17678,M,M,280,66,84,103
1/1/19,PM,6,70.6,18288,M,M,270,49,85,105
1/1/19,PM,4,70,18340,-66.1,-95.1,265,50,85,105
1/1/19,PM,6,67.1,18592,M,M,255,59,85,106
1/1/19,PM,5,65.6,18730,-68.5,-97.5,M,M,M,M
1/1/19,PM,6,63.8,18897,M,M,270,72,85,107
1/1/19,PM,5,61.6,19107,-67.3,-96.3,M,M,M,M
1/1/19,PM,5,57.7,19499,-68.9,-96.9,M,M,M,M
1/1/19,PM,5,56.4,19636,-66.1,-95.1,M,M,M,M
1/1/19,PM,5,54.5,19843,-67.1,-96.1,M,M,M,M
1/1/19,PM,6,52.1,20116,M,M,280,48,85,111
1/1/19,PM,5,51.3,20209,-64.5,-94.5,M,M,M,M
1/1/19,PM,4,50,20370,-64.7,-94.7,260,35,85,111
1/1/19,PM,6,49.6,20421,M,M,255,32,85,112
1/1/19,PM,6,42.6,21336,M,M,275,48,85,114
1/1/19,PM,5,39.6,21784,-66.3,-95.3,M,M,M,M
1/1/19,PM,5,36.3,22313,-63.7,-93.7,M,M,M,M
1/1/19,PM,6,34.9,22555,M,M,305,26,85,116
1/1/19,PM,6,31.6,23164,M,M,285,29,86,117
1/1/19,PM,6,30.1,23469,M,M,295,23,86,117
1/1/19,PM,4,30,23480,-68.5,-97.5,295,25,86,117
1/1/19,PM,5,28.7,23744,-69.9,-97.9,M,M,M,M
1/1/19,PM,6,28.6,23774,M,M,265,15,86,117
1/1/19,PM,5,26.6,24198,-67.1,-96.1,M,M,M,M
1/1/19,PM,6,25.8,24384,M,M,285,34,86,118
1/1/19,PM,6,24.5,24688,M,M,295,38,86,119
1/1/19,PM,5,23.4,24968,-67.9,-96.9,M,M,M,M
1/1/19,PM,5,22.5,25204,-65.7,-94.7,M,M,M,M
1/1/19,PM,6,22.2,25298,M,M,300,25,86,120
1/1/19,PM,5,20.6,25736,-67.7,-96.7,M,M,M,M
1/1/19,PM,6,20.1,25908,M,M,295,34,86,121
1/1/19,PM,4,20,25920,-65.9,-94.9,290,33,86,121
1/1/19,PM,5,19.8,25981,-64.9,-94.9,M,M,M,M
1/1/19,PM,6,18.1,26517,M,M,305,16,87,121
1/1/19,PM,5,18,26557,-67.7,-96.7,M,M,M,M
1/1/19,PM,6,17.2,26822,M,M,295,28,87,122
1/1/19,PM,5,16.1,27231,-64.9,-94.9,M,M,M,M
1/1/19,PM,6,15.6,27432,M,M,315,26,87,122
1/1/19,PM,6,14.8,27736,M,M,285,17,87,123
1/1/19,PM,5,14.3,27949,-66.5,-95.5,M,M,M,M
1/1/19,PM,6,12.8,28651,M,M,280,24,87,124
1/1/19,PM,5,12.7,28667,-65.1,-95.1,M,M,M,M
1/1/19,PM,5,12.2,28910,-66.3,-95.3,M,M,M,M
1/1/19,PM,6,12.1,28956,M,M,300,28,87,124
1/1/19,PM,6,11,29565,M,M,300,43,88,125
1/1/19,PM,4,10,30140,-60.1,-91.1,295,46,88,126
1/1/19,PM,5,9.8,30266,-59.7,-90.7,M,M,M,M
1/1/19,PM,5,9.7,30330,-57.7,-89.7,M,M,M,M
1/1/19,PM,6,9.5,30480,M,M,305,48,88,127
1/1/19,PM,5,9.4,30528,-57.9,-89.9,M,M,M,M
1/1/19,PM,5,9.1,30733,-54.7,-86.7,M,M,M,M
1/1/19,PM,5,8.9,30876,-54.9,-86.9,M,M,M,M
1/1/19,PM,5,8.7,31020,-53.3,-86.3,M,M,M,M
1/1/19,PM,6,8.2,31394,M,M,305,45,89,129
1/1/19,PM,5,7.9,31644,-49.7,-83.7,M,M,M,M
1/2/19,AM,9,1008,94,3,-2,290,2,0,0
1/2/19,AM,4,1000,156,2,-3,305,8,116,0
1/2/19,AM,5,993,212,1.2,-3.8,M,M,M,M
1/2/19,AM,6,981.6,304,M,M,310,19,125,0
1/2/19,AM,6,944.8,609,M,M,315,18,130,0
1/2/19,AM,4,925,778,-4.3,-5.4,310,21,130,0
1/2/19,AM,5,920,821,-4.7,-5.5,M,M,M,M
1/2/19,AM,6,909.1,914,M,M,310,22,130,0
1/2/19,AM,6,874.2,1219,M,M,315,25,131,1
1/2/19,AM,4,850,1438,-9.1,-9.2,325,21,132,1
1/2/19,AM,5,849,1447,-9.1,-9.2,M,M,M,M
1/2/19,AM,6,840.5,1524,M,M,325,20,133,1
1/2/19,AM,5,834,1584,-10.1,-12.9,M,M,M,M
1/2/19,AM,5,828,1639,-10.1,-11.8,M,M,M,M
